model,config,direction,center,select,gamma,at_grid_edge,n_train,n_test,sim_paraphrase,sim_negation,cosine_gap,nevir_rank,sim_unrelated
multilingual-e5,baseline,,,,,,152,151,0.9628813022019848,0.9407732332779082,0.022108068924076574,0.8013245033112583,0.8037322743237019
multilingual-e5,mean_diff/cv,mean_diff,True,cv5,1000.0,True,152,151,0.8551840389196355,-0.8402673378952321,1.6954513768148676,0.9536423841059603,0.9959926735306927
multilingual-e5,mean_diff/train,mean_diff,True,train,350.0,False,152,151,0.8603161508551811,-0.8357155620057412,1.6960317128609224,0.9536423841059603,0.9802186915010199
multilingual-e5,mean_diff/cv/nocenter,mean_diff,False,cv5,50.0,False,152,151,0.7999617847240175,0.07414866573705485,0.7258131189869627,0.8609271523178808,0.5678243649732583
multilingual-e5,mean_diff/train/nocenter,mean_diff,False,train,80.0,False,152,151,0.7375260621036025,0.041723569477116466,0.6958024926264861,0.8211920529801324,0.6103669332810857
multilingual-e5,classifier/cv,classifier,True,cv5,1000.0,True,152,151,0.8956650067852383,-0.8794732774552866,1.775138284240525,0.9735099337748344,0.997806082621164
multilingual-e5,classifier/train,classifier,True,train,350.0,False,152,151,0.8988822516437508,-0.8708463183711165,1.7697285700148673,0.9735099337748344,0.9855035151303408
multilingual-e5,classifier/cv/nocenter,classifier,False,cv5,120.0,False,152,151,0.7002257379630983,-0.23660914352422674,0.9368348814873251,0.8410596026490066,0.6796393714235945
multilingual-e5,classifier/train/nocenter,classifier,False,train,200.0,False,152,151,0.6474048604750959,-0.25563467861673717,0.9030395390918331,0.8145695364238411,0.7705813746670915
labse,baseline,,,,,,152,151,0.88994237997674,0.8243083014393484,0.06563407853739156,0.7947019867549668,0.24707619915367104
labse,mean_diff/cv,mean_diff,True,cv5,1000.0,True,152,151,0.9728693202279732,-0.9729751991087163,1.9458445193366896,0.9867549668874173,0.999468198824566
labse,mean_diff/train,mean_diff,True,train,1000.0,True,152,151,0.9728693202279732,-0.9729751991087163,1.9458445193366896,0.9867549668874173,0.999468198824566
labse,mean_diff/cv/nocenter,mean_diff,False,cv5,120.0,False,152,151,0.786018881449724,-0.463130563824981,1.249149445274705,0.9072847682119205,0.7258292360055633
labse,mean_diff/train/nocenter,mean_diff,False,train,80.0,False,152,151,0.8127912078273065,-0.4327778912507992,1.2455690990781056,0.9271523178807947,0.6543023548670002
labse,classifier/cv,classifier,True,cv5,600.0,False,152,151,0.9624165678434069,-0.9611874359006998,1.9236040037441067,0.9801324503311258,0.9963155666430754
labse,classifier/train,classifier,True,train,1000.0,True,152,151,0.961408421813782,-0.9609240829217073,1.9223325047354893,0.9801324503311258,0.9981219167108183
labse,classifier/cv/nocenter,classifier,False,cv5,120.0,False,152,151,0.7913178093973067,-0.2869107284273401,1.0782285378246468,0.9006622516556292,0.7232822897025131
labse,classifier/train/nocenter,classifier,False,train,120.0,False,152,151,0.7913178093973067,-0.2869107284273401,1.0782285378246468,0.9006622516556292,0.7232822897025131
alephbert-sentence,baseline,,,,,,152,151,0.8705538688905982,0.8901391345144107,-0.019585265623812576,0.4966887417218543,0.4453332495316863
alephbert-sentence,mean_diff/cv,mean_diff,True,cv5,200.0,False,152,151,0.7156799606591155,-0.6380527712860969,1.3537327319452124,0.9072847682119205,0.8521379681706601
alephbert-sentence,mean_diff/train,mean_diff,True,train,200.0,False,152,151,0.7156799606591155,-0.6380527712860969,1.3537327319452124,0.9072847682119205,0.8521379681706601
alephbert-sentence,mean_diff/cv/nocenter,mean_diff,False,cv5,120.0,False,152,151,0.6828329006627525,-0.2668719450219247,0.9497048456846772,0.8145695364238411,0.7699906592515177
alephbert-sentence,mean_diff/train/nocenter,mean_diff,False,train,200.0,False,152,151,0.6583161192328486,-0.28552017117701867,0.9438362904098673,0.8079470198675497,0.8486240732088188
alephbert-sentence,classifier/cv,classifier,True,cv5,1000.0,True,152,151,0.7302691643794145,-0.707685052082254,1.4379542164616685,0.8940397350993378,0.9806720833819241
